particle_number,Total_Area
1,10.5769369815
2,9.38626627652
3,11.1883485707
4,9.67384816173
5,8.17613011271
6,9.49661013125
7,8.10919766024
8,11.4502401652
9,10.1762028098
10,11.4471530773
11,9.71383110733
12,10.9187967596
13,9.61792153113
14,8.45633420222
15,10.063058338
16,11.0854475113
17,12.0827743174
18,10.8950555238
19,9.70309829941
20,7.95102284163
21,9.8320351799
22,9.52108695635
23,9.66612360234
24,9.90766671899
25,10.3731440083
26,9.29754988592
27,11.3455532621
28,8.65818612556
29,9.02602930108
30,11.2715824032
31,10.0348511661
32,9.72970914815
33,10.2706123715
34,10.5132032256
35,10.111656425
36,9.33623245887
37,11.125867144
38,11.1106682613
39,8.83591831262
40,9.7187448985
